Elapsed Time (ms),Transform Pos X,Transform Pos Y,Transform Pos Z,Transform Rot X,Transform Rot Y,Transform Rot Z,Transform Rot W
0.3533334,4.48,0.9644076,4.09,0,0.9821792,0,0.1879468
0.4420338,4.48,0.9644076,4.09,0,-0.9879162,0,0.1549892
0.5412533,4.48,0.9644076,4.09,0,-0.9465766,0,-0.3224792
0.6413632,4.48,0.9644076,4.09,0,-0.9144707,0,-0.4046521
0.741048,4.48,0.9644076,4.09,0,-0.9144707,0,-0.4046521
0.8411803,4.48,0.9644076,4.09,0,-0.9657552,0,-0.259455
0.9457296,4.48,0.9644076,4.09,0,-0.9050386,0,0.4253295
1.041086,4.48,0.9644076,4.09,0,-0.8028305,0,0.5962074
1.142427,4.48,0.9644076,4.09,0,-0.7813485,0,0.624095
1.240415,4.48,0.9644076,4.09,0,-0.7970349,0,0.6039333
1.340505,4.48,0.9644076,4.09,0,-0.8284147,0,0.5601153
1.440432,4.48,0.9644076,4.09,0,-0.8617554,0,0.5073239
1.541354,4.48,0.9644076,4.09,0,-0.8765373,0,0.4813339
1.641519,4.48,0.9644076,4.09,0,-0.9169788,0,0.398936
1.741097,4.48,0.9644076,4.09,0,-0.9357599,0,0.3526379
1.844664,4.48,0.9644076,4.09,0,-0.9411908,0,0.3378755
1.941191,4.48,0.9644076,4.09,0,-0.9411908,0,0.3378755
2.040867,4.48,0.9644076,4.09,0,-0.9386975,0,0.344742
2.14085,4.48,0.9644076,4.09,0,-0.9162627,0,0.4005779
2.24007,4.48,0.9644076,4.09,0,-0.882193,0,0.4708881
2.341621,4.48,0.9644076,4.09,0,-0.8594599,0,0.5112033
2.444523,4.48,0.9644076,4.09,0,-0.8247488,0,0.5654994
2.541078,4.48,0.9644076,4.09,0,-0.8151652,0,0.5792286
2.640769,4.48,0.9644076,4.09,0,-0.8151652,0,0.5792286
2.742133,4.471961,0.9628993,4.083592,0,-0.9073615,0,0.4203512
2.84051,4.372491,0.9095955,3.974033,0,-0.9318913,0,0.3627376
2.940202,4.243302,0.7131876,3.688282,0,-0.9318913,0,0.3627376
3.042066,4.12237,0.5052092,3.181251,0,-0.9318913,0,0.3627376
3.140528,4.085131,0.33,2.635643,0,-0.9318913,0,0.3627376
3.241517,4.054144,0.33,2.274413,0,-0.9318913,0,0.3627376
3.346851,4.033656,0.33,2.119309,0,-0.9318913,0,0.3627376
3.4417,4.033943,0.33,2.090893,0,-0.7198597,0,0.6941197
3.540716,4.033943,0.33,2.090893,0,-0.7118742,0,0.702307
3.640186,4.033943,0.33,2.09274,0,-0.6864751,0,0.7271533
3.740717,4.033836,0.33,2.099664,0,-0.6864751,0,0.7271533
3.840928,4.022534,0.33,2.160561,0,-0.6864751,0,0.7271533
3.941648,3.662048,0.33,2.302271,0,-0.6864751,0,0.7271533
4.040023,3.317639,0.33,2.353525,0,-0.6864751,0,0.7271533
4.141595,3.312537,0.3299999,2.536242,0,-0.7128217,0,0.7013454
4.244389,3.312196,0.3299999,2.561858,0,-0.897587,0,0.4408374
4.340511,3.289327,0.33,2.288458,0,-0.9921698,0,0.1248966
4.440989,3.259414,0.33,2.065546,0,-0.9921698,0,0.1248966
4.545248,3.259414,0.33,1.77763,0,-0.9921698,0,0.1248966
4.640983,3.259414,0.33,1.373712,0,-0.9921698,0,0.1248966
4.740707,3.259414,0.33,0.8906451,0,-0.9921698,0,0.1248966
4.841258,3.259414,0.33,0.4035764,0,-0.9921698,0,0.1248966
4.940579,3.259414,0.33,-0.07753652,0,-0.9921698,0,0.1248966
5.04164,3.259414,0.33,-0.5670756,0,-0.9921698,0,0.1248966
5.14131,3.259414,0.3299991,-1.049875,0,-0.9921698,0,0.1248966
5.241,3.259411,0.3299991,-1.532774,0,-0.9921698,0,0.1248966
5.340611,3.153288,0.3299991,-2.01571,0,-0.9921698,0,0.1248966
5.441289,3.029408,0.3299991,-2.499962,0,-0.9921698,0,0.1248966
5.541018,2.884887,0.3299991,-2.507551,0,-0.967971,0,0.2510623
5.640436,2.612172,0.3299994,-2.437352,0,-0.3509843,0,0.9363813
5.740683,2.611663,0.3299998,-2.057016,0,-0.3470479,0,0.9378474
5.8406,2.611158,0.3299999,-1.67772,0,-0.3431519,0,0.93928
5.94148,2.570138,0.3299999,-1.224905,0,-0.03585743,0,0.9993569
6.041498,2.606364,0.3299999,-0.7297905,0,0.1670496,0,0.9859485
6.140223,2.656654,0.3299999,-0.3760527,0,0.4062134,0,0.9137782
6.240511,2.656654,0.3299999,-0.04009513,0,0.4062134,0,0.9137782
6.340808,2.656654,0.3299999,0.2958907,0,0.4062134,0,0.9137782
6.441092,2.656654,0.3299999,0.6318325,0,0.4062134,0,0.9137782
6.541488,2.62625,0.3299999,1.024636,0,-0.2757865,0,0.961219
6.641133,2.529436,0.3299999,1.325737,0,-0.5750009,0,0.8181528
6.740379,2.066484,0.3299999,1.500269,0,-0.5750009,0,0.8181528
6.840097,1.870627,0.3299999,1.669165,0,-0.5750009,0,0.8181528
6.941103,1.847702,0.3299999,1.704759,0,-0.2770875,0,0.9608448
7.041104,2.077671,0.3299999,1.709527,0,0.7802517,0,0.6254657
7.141191,2.22188,0.3299999,1.658231,0,0.8889813,0,0.4579434
7.24001,2.228843,0.3299999,1.653024,0,0.9178532,0,0.3969202
7.340312,2.228843,0.3299999,1.653024,0,0.9761006,0,0.2173196
7.440707,2.228843,0.3299999,1.653024,0,0.9761006,0,0.2173196
7.540386,2.228843,0.3299999,1.653024,0,0.9761006,0,0.2173196
7.641197,2.228843,0.3299999,1.653024,0,0.9761006,0,0.2173196
7.67602
